time_s,path_error_mm,heading_error_deg,v_left_target,v_right_target,v_left_actual,v_right_actual,omega_cmd,gyro_z,yaw_error,wheel_pi_turn,turn_pwm,left_pwm,right_pwm,x_m,y_m
2.39,2.9557899398781524,-0.169157346384448,0.4879400236142813,0.31205997638571875,0.48774835151080703,0.3173259273807609,-0.821869379572722,-0.796366467897412,-0.025502911675310047,-1.1250204281588236,-16.543186177845264,53,20,0.4673041025136527,-0.6626969215986078
2.4,2.9442159225219657,-0.16005599238424198,0.48794408369200937,0.3120559163079907,0.48630471457645286,0.3186456792405088,-0.8219073242243865,-0.7834534361492713,-0.038453888075115183,-1.3002037561802702,-16.659524615479288,53,19,0.46592562994166126,-0.6664785471386648
2.41,2.9335488886682763,-0.14424611860050962,0.48794408369200937,0.3120559163079907,0.4850336304652392,0.31973735040854123,-0.8219073242243865,-0.7724125236294294,-0.049494800594957145,-1.4555797083925377,-16.759450311243096,53,19,0.46451788099343777,-0.6702485479593792
2.42,2.9242200059038526,-0.1227471535290433,0.48803509165770165,0.3119649083422984,0.48390655154762596,0.32062729756712416,-0.8227578659598286,-0.7629871681331862,-0.05977069782664235,-1.5998646420541505,-16.869239070998745,53,19,0.46308146403821737,-0.6740065886233294
2.43,2.9165925030252926,-0.09648058018164872,0.48803509165770165,0.3119649083422984,0.48290847268272175,0.3213298746673291,-0.8227578659598286,-0.7550401776420216,-0.067717688317807,-1.7193423162652595,-16.942366574109986,53,19,0.4616169332418852,-0.6777523162927492
2.44,2.9109692184259144,-0.06622219153073705,0.48819176105070106,0.311808238949299,0.48200806069128754,0.32187737529185834,-0.8242220658944021,-0.7482742308384545,-0.0759478350559476,-1.8338301044922416,-17.04570104602985,53,19,0.4601247934483199,-0.681485369056082
2.45,2.907601101776619,-0.03268892520849132,0.48819176105070106,0.311808238949299,0.4812055667755162,0.32227213502802254,-0.8242220658944021,-0.7426795876051102,-0.08154247828929184,-1.9197212001222015,-17.097909064027647,53,19,0.4586055054240301,-0.6852053849817565
2.46,2.90669194784017,0.003534887209096127,0.48839720883137394,0.3116027911686261,0.4804684787280629,0.322550836204849,-0.8261421386109711,-0.737932908986981,-0.08820922962399003,-2.0052679154909328,-17.195830761090285,53,19,0.45705948719018985,-0.688912009839394
2.47,2.908406408135508,0.041893153565676806,0.48839720883137394,0.3116027911686261,0.47980902296467187,0.322706906291639,-0.8261421386109711,-0.7341220405281912,-0.09202009808277989,-2.059695169831044,-17.23207392737399,53,19,0.45548711811623926,-0.6926049057912549
2.48,2.912871404123092,0.08178475676935486,0.5097972088313739,0.29020279116862613,0.4795060118593466,0.32246851789780817,-1.026142138610971,-0.7338200652408337,-0.2923220733701374,-3.8156595480180497,-22.86241142506279,55,13,0.4538887367862251,-0.6962837570070686
2.49,2.9198642140818265,0.11264335078759961,0.5097972088313739,0.29020279116862613,0.4818927777883638,0.3195104543480515,-1.026142138610971,-0.7587959039266933,-0.26734623468427776,-3.8215969905649683,-22.753107963803693,55,13,0.45226435267108467,-0.6999481469709224
2.5,2.9284736688688695,0.1298158669500583,0.5125274997437061,0.2874725002562939,0.483979954043904,0.31683108781563146,-1.051658876109403,-0.7810694683564137,-0.27058940775298934,-3.8217615632973017,-23.31724509661703,55,13,0.4506133377641984,-0.7035974141204744
2.51,2.937767651922837,0.13371483022123065,0.5125274997437061,0.2874725002562939,0.4860839216330054,0.3141236596411102,-1.051658876109403,-0.803552626130351,-0.24810624997905195,-3.6186271418856557,-23.147612150910085,55,13,0.4489350383293845,-0.7072309149775037
2.52,2.9468469867265634,0.12538057910330758,0.5125304041489213,0.28746959585107873,0.48785498713870623,0.3117478074827388,-1.0516860200833764,-0.8229307460559225,-0.22875527402745388,-3.406579367791659,-22.986102141256247,55,13,0.4472288217796392,-0.7108480473314603
2.53,2.9549238975911334,0.1064814798404405,0.5125304041489213,0.28746959585107873,0.4893362745003965,0.3096703670814036,-1.0516860200833764,-0.8395603150420229,-0.21212570504135353,-3.214484760018082,-22.840150381481877,55,13,0.44549414533165294,-0.7144482847359175
