time_s,path_error_mm,heading_error_deg,v_left_target,v_right_target,v_left_actual,v_right_actual,omega_cmd,gyro_z,yaw_error,wheel_pi_turn,turn_pwm,left_pwm,right_pwm,x_m,y_m
3.01,2.6508878780751863,-0.026848429723112393,0.48803368479598347,0.3119663152040166,0.48418911680814924,0.3180318569165361,-0.8227447177194714,-0.7764357938860426,-0.04630892383342888,-0.7472198514467043,-17.51752154801124,54,19,0.333265244310508,-0.8680819272432133
3.02,2.6496366821951396,-0.009954429769476669,0.4881176881635323,0.31188231183646775,0.48383103869567534,0.3189533530173948,-0.8235297959208626,-0.7704564751321521,-0.05307332078871052,-0.8591175996899355,-17.71084715817054,54,18,0.33027258271923726,-0.8707550178811095
3.03,2.649698657605149,0.010178152021512852,0.4881176881635323,0.31188231183646775,0.4836238486799853,0.31969547967638756,-0.8235297959208626,-0.7660204159046623,-0.05750938001620032,-0.9539963155826283,-17.85138256323953,54,18,0.32725736641618386,-0.8734067925200444
3.04,2.651271619774021,0.03277813452497348,0.48824739254047256,0.3117526074595275,0.48352251510646366,0.3202945099527717,-0.8247419863595564,-0.7627476876340746,-0.06199429872548179,-1.0493983401141,-18.01528327937665,54,18,0.3242199869277805,-0.8760370850954654
3.05,2.6545038685926072,0.05715756078381804,0.48824739254047256,0.3117526074595275,0.4835183587779494,0.3207513123882217,-0.8247419863595564,-0.7605936747183537,-0.06414831164120272,-1.1264217775408287,-18.116838203845475,54,18,0.321160837152987,-0.8786456730009614
3.06,2.659500006550642,0.08278066097143645,0.48840568430903747,0.3115943156909626,0.4835681796388956,0.32110246059511466,-0.8262213486825931,-0.7591856030083223,-0.06703574567427084,-1.2071158507821358,-18.255952849019035,54,18,0.31808031305294276,-0.8812322853229956
3.07,2.6663300713310503,0.10915553525913282,0.48840568430903747,0.3115943156909626,0.4836755492115955,0.3213391355811481,-0.8262213486825931,-0.7585813721048943,-0.06763997657769882,-1.2679085078552648,-18.326656559639734,54,18,0.31497881627712954,-0.8837966142941198
3.08,2.6750311199252126,0.13570127071348612,0.5098056843090375,0.29019431569096255,0.48420836865215305,0.32108971396895963,-1.026221348682593,-0.7622367041270719,-0.2639846445555212,-3.0369735264539175,-25.70078130323561,55,10,0.31185675088248777,-0.8863383214446553
3.09,2.6851944557932663,0.14878755728523407,0.5098056843090375,0.29019431569096255,0.4882078880115781,0.31731084133844134,-1.026221348682593,-0.7985843302483026,-0.22763701843429052,-3.0540448761492254,-25.543149424182424,55,11,0.3087142606797954,-0.8888567201815303
3.1,2.6955193474878487,0.14255884225231247,0.5124826324415526,0.2875173675584475,0.49173323568750155,0.3139429384974121,-1.0512395555285283,-0.8307957812621002,-0.22044377426642814,-3.0006123025925717,-25.96516302743478,55,10,0.305550956615523,-0.8913504230303353
3.11,2.7047073645616826,0.11832911903550312,0.5124826324415526,0.2875173675584475,0.49505749595191684,0.31071410168249625,-1.0512395555285283,-0.8614177302309372,-0.18982182529759117,-2.7621627009639607,-25.48691789942432,55,11,0.3023664814016242,-0.893818035785946
3.12,2.7115650110727536,0.0783427524539545,0.5124377550367816,0.28756224496321847,0.49776685488972083,0.3080408773790203,-1.0508201405306687,-0.8865699883677594,-0.1642501521629094,-2.526811980676421,-25.020699794862203,55,11,0.29916056649931044,-0.8962582435819383
3.13,2.715097998401806,0.025503544168760602,0.5124377550367816,0.28756224496321847,0.4999328299432785,0.30585589968562543,-1.0508201405306687,-0.9069015432600607,-0.14391859727060807,-2.3346667967459425,-24.641306771618478,55,11,0.29593308053523065,-0.8986698925381771
3.14,2.714501373494203,-0.0375295823313143,0.4910377550367816,0.30896224496321845,0.5012432932255835,0.30447668516248655,-0.8508201405306688,-0.9194701311359667,0.06864999060529786,-0.45916480742296867,-17.010451590027706,53,19,0.29268401287452966,-0.9010519893521405
3.15,2.7095502613390603,-0.095376873433282,0.4910377550367816,0.30896224496321845,0.4987242742568855,0.30688360640003853,-0.8508201405306688,-0.8964517189572289,0.04563157842656007,-0.35510833546944187,-16.955778035853257,53,19,0.28941369101986425,-0.9034040256398297
3.16,2.701022332927234,-0.14074120475901958,0.4877861304097777,0.31221386959022235,0.49636338067996566,0.309096214178487,-0.8204311253250247,-0.8750802172966294,0.054649091971604724,-0.2889889845994746,-16.160162586436602,52,20,0.2861230039444674,-0.9057263364850072
3.17,2.689794194828134,-0.17339707378320496,0.4877861304097777,0.31221386959022235,0.49385402052494864,0.3114287342928932,-0.8204311253250247,-0.8524546085610069,0.03202348323598214,-0.46365796908883256,-16.494000726673274,53,20,0.2828128547550103,-0.9080193790202574
3.18,2.6767352153494564,-0.19445946495262326,0.48759131529152233,0.3124086847084777,0.4917531063743037,0.3133320692004129,-0.8186104232852555,-0.8337431643639759,0.015132741078720424,-0.6289754675382482,-16.76346463340874,53,19,0.2794840959136608,-0.9102836458457056
