frame,candidate_index,kind,u_px,v_px,l_value,a_delta,b_delta,halo_kind,halo_distance_px,halo_u_px,halo_v_px,halo_area,halo_mean_a_delta
102,11,unknown,584.0,418.0,192,2,3,none,,,,,
102,12,unknown,590.0,426.0,192,3,3,none,,,,,
102,13,unknown,699.0,418.0,191,3,3,none,,,,,
102,14,unknown,711.0,378.0,189,4,3,none,,,,,
102,15,unknown,599.0,393.0,189,2,1,none,,,,,
102,16,unknown,629.0,369.0,188,3,1,none,,,,,
102,17,unknown,587.0,402.0,188,3,1,none,,,,,
102,18,unknown,640.0,361.0,185,2,2,none,,,,,
102,19,unknown,702.0,366.0,182,1,3,none,,,,,
102,20,unknown,504.0,223.0,175,0,5,none,,,,,
102,21,unknown,990.0,352.0,172,1,-3,none,,,,,
102,22,unknown,989.0,315.0,170,0,-3,none,,,,,
102,23,unknown,989.0,336.0,170,0,-3,none,,,,,
102,24,unknown,990.0,394.0,170,1,-1,none,,,,,
102,25,unknown,988.0,244.0,167,1,-2,none,,,,,
102,26,unknown,987.0,211.0,165,1,-3,none,,,,,
102,27,unknown,987.0,232.0,165,1,-2,none,,,,,
102,28,unknown,506.0,503.0,165,0,1,none,,,,,
102,29,unknown,987.0,203.0,164,-1,-3,none,,,,,
102,30,unknown,506.0,528.0,164,0,1,none,,,,,
102,31,unknown,986.0,168.0,162,1,-3,none,,,,,
102,32,unknown,797.0,488.0,153,0,2,none,,,,,
102,33,unknown,797.0,496.0,153,0,2,none,,,,,
102,34,unknown,793.0,193.0,151,0,5,none,,,,,
102,35,unknown,794.0,268.0,148,0,5,none,,,,,
102,36,unknown,798.0,532.0,148,0,1,none,,,,,
102,37,unknown,411.0,201.0,147,0,6,none,,,,,
102,38,unknown,793.0,167.0,146,0,5,none,,,,,
102,39,unknown,570.0,400.0,146,0,1,none,,,,,
102,40,unknown,794.0,240.0,145,0,5,none,,,,,
102,41,unknown,593.0,382.0,145,0,1,none,,,,,
102,42,unknown,630.0,353.0,144,0,1,none,,,,,
102,43,unknown,611.0,368.0,144,0,1,none,,,,,
102,44,unknown,796.0,386.0,144,-1,4,none,,,,,
102,45,unknown,570.0,420.0,144,0,1,none,,,,,
102,46,unknown,642.0,344.0,142,0,0,none,,,,,
102,47,unknown,460.0,392.0,142,2,2,none,,,,,
102,48,unknown,480.0,155.0,141,-1,4,none,,,,,
102,49,unknown,546.0,155.0,141,-1,4,none,,,,,
102,50,unknown,796.0,374.0,141,1,2,none,,,,,
102,51,unknown,600.0,364.0,138,-1,4,none,,,,,
102,52,unknown,580.0,433.0,137,0,1,none,,,,,
102,53,unknown,597.0,455.0,133,0,0,none,,,,,
102,54,unknown,990.0,516.0,132,1,-2,none,,,,,
102,55,unknown,703.0,435.0,131,0,2,none,,,,,
102,56,unknown,989.0,455.0,131,0,0,none,,,,,
102,57,unknown,604.0,467.0,131,1,0,none,,,,,
102,58,unknown,693.0,445.0,130,0,2,none,,,,,
102,59,unknown,608.0,484.0,127,-1,2,none,,,,,
102,60,unknown,685.0,484.0,127,0,2,none,,,,,
102,61,unknown,989.0,487.0,127,0,0,none,,,,,
102,62,unknown,622.0,489.0,127,0,0,none,,,,,
102,63,unknown,672.0,504.0,126,2,1,none,,,,,
102,64,unknown,808.0,155.0,125,-1,4,none,,,,,
102,65,unknown,831.0,287.0,125,0,4,none,,,,,
102,66,unknown,767.0,456.0,125,0,2,none,,,,,
102,67,unknown,787.0,529.0,123,0,3,none,,,,,
102,68,unknown,864.0,531.0,120,0,3,none,,,,,
102,69,unknown,957.0,339.0,118,0,3,none,,,,,
105,0,green,684.0,342.0,182,4,3,green,8.994894568786016,685.4605809128631,333.1244813278008,13,-18.53846153846154
105,1,green,689.0,349.0,181,4,3,green,16.265287596158082,685.4605809128631,333.1244813278008,13,-18.53846153846154
105,2,green,669.0,338.0,180,2,1,green,17.167451945815216,685.4605809128631,333.1244813278008,13,-18.53846153846154
105,3,green,672.0,322.0,152,0,1,green,17.46256920743115,685.4605809128631,333.1244813278008,13,-18.53846153846154
105,4,green,700.0,344.0,118,0,4,green,18.156861341673423,685.4605809128631,333.1244813278008,13,-18.53846153846154
105,5,unknown,628.0,475.0,207,2,1,none,,,,,
105,6,unknown,634.0,473.0,203,2,2,none,,,,,
105,7,unknown,610.0,453.0,202,4,4,none,,,,,
105,8,unknown,615.0,459.0,200,1,3,none,,,,,
105,9,unknown,649.0,460.0,200,2,3,none,,,,,
105,10,unknown,683.0,431.0,199,3,3,none,,,,,
105,11,unknown,724.0,397.0,198,2,0,none,,,,,
105,12,unknown,675.0,438.0,197,4,1,none,,,,,
105,13,unknown,584.0,419.0,195,3,3,none,,,,,
105,14,unknown,600.0,440.0,195,2,3,none,,,,,
105,15,unknown,715.0,385.0,194,5,2,none,,,,,
105,16,unknown,710.0,378.0,191,4,3,none,,,,,
105,17,unknown,699.0,418.0,191,3,3,none,,,,,
105,18,unknown,625.0,373.0,190,2,2,none,,,,,
105,19,unknown,616.0,379.0,189,1,3,none,,,,,
105,20,unknown,596.0,395.0,186,4,1,none,,,,,
105,21,unknown,706.0,412.0,185,3,3,none,,,,,
105,22,unknown,611.0,428.0,182,5,4,none,,,,,
105,23,unknown,699.0,363.0,179,4,2,none,,,,,
105,24,unknown,654.0,350.0,178,3,3,none,,,,,
105,25,unknown,504.0,287.0,176,2,2,none,,,,,
105,26,unknown,990.0,383.0,173,1,-2,none,,,,,
105,27,unknown,990.0,398.0,173,0,-2,none,,,,,
105,28,unknown,990.0,355.0,171,0,-2,none,,,,,
105,29,unknown,503.0,163.0,167,0,5,none,,,,,
105,30,unknown,988.0,280.0,167,1,-3,none,,,,,
105,31,unknown,986.0,183.0,163,1,-3,none,,,,,
105,32,unknown,987.0,156.0,160,1,-2,none,,,,,
105,33,unknown,797.0,498.0,153,0,2,none,,,,,
105,34,unknown,378.0,239.0,150,0,6,none,,,,,
105,35,unknown,577.0,395.0,148,0,1,none,,,,,
105,36,unknown,796.0,449.0,148,0,2,none,,,,,
105,37,unknown,794.0,305.0,147,0,5,none,,,,,
105,38,unknown,564.0,405.0,147,0,1,none,,,,,
105,39,unknown,795.0,378.0,145,0,4,none,,,,,
105,40,unknown,588.0,386.0,145,0,1,none,,,,,
105,41,unknown,794.0,324.0,144,0,4,none,,,,,
105,42,unknown,658.0,332.0,144,-1,2,none,,,,,
105,43,unknown,650.0,338.0,143,0,1,none,,,,,
105,44,unknown,644.0,342.0,143,0,1,none,,,,,
105,45,unknown,630.0,353.0,141,0,1,none,,,,,
105,46,unknown,796.0,406.0,141,0,2,none,,,,,
105,47,unknown,579.0,433.0,141,0,2,none,,,,,
105,48,unknown,531.0,383.0,140,0,2,none,,,,,
105,49,unknown,600.0,364.0,138,-1,4,none,,,,,
105,50,unknown,989.0,492.0,133,0,0,none,,,,,
105,51,unknown,989.0,498.0,132,0,0,none,,,,,
105,52,unknown,703.0,435.0,131,0,2,none,,,,,
105,53,unknown,693.0,445.0,130,0,2,none,,,,,
105,54,unknown,990.0,532.0,130,1,-1,none,,,,,
105,55,unknown,718.0,365.0,129,0,2,none,,,,,
105,56,unknown,734.0,380.0,127,0,4,none,,,,,
105,57,unknown,608.0,481.0,127,-1,2,none,,,,,
105,58,unknown,649.0,493.0,127,-1,2,none,,,,,
105,59,unknown,657.0,499.0,127,2,1,none,,,,,
105,60,unknown,672.0,504.0,126,2,1,none,,,,,
105,61,unknown,808.0,155.0,125,-1,4,none,,,,,
105,62,unknown,836.0,287.0,125,0,4,none,,,,,
105,63,unknown,864.0,311.0,123,1,4,none,,,,,
105,64,unknown,924.0,267.0,120,0,4,none,,,,,
105,65,unknown,955.0,339.0,118,0,3,none,,,,,
113,0,green,677.0,333.0,184,2,2,green,10.108466663487478,687.1007194244604,333.3956834532374,13,-21.384615384615383
113,1,red,692.0,355.0,179,1,3,red,13.518533633131202,691.4960835509138,341.49086161879893,16,23.9375
113,2,green,663.0,328.0,148,0,2,green,24.69732934355662,687.1007194244604,333.3956834532374,13,-21.384615384615383
113,3,green,684.0,322.0,139,0,1,green,11.80999840455596,687.1007194244604,333.3956834532374,13,-21.384615384615383
113,4,unknown,629.0,477.0,206,2,1,none,,,,,
113,5,unknown,614.0,458.0,202,2,3,none,,,,,
113,6,unknown,651.0,458.0,202,2,4,none,,,,,
113,7,unknown,723.0,398.0,199,4,1,none,,,,,
113,8,unknown,644.0,464.0,199,1,3,none,,,,,
113,9,unknown,620.0,376.0,197,2,2,none,,,,,
113,10,unknown,687.0,428.0,194,3,2,none,,,,,
113,11,unknown,599.0,440.0,193,3,2,none,,,,,
113,12,unknown,591.0,430.0,192,3,2,none,,,,,
113,13,unknown,587.0,402.0,189,1,1,none,,,,,
113,14,unknown,630.0,368.0,188,3,2,none,,,,,
113,15,unknown,600.0,392.0,188,4,3,none,,,,,
113,16,unknown,706.0,374.0,186,2,3,none,,,,,
113,17,unknown,701.0,367.0,184,1,4,none,,,,,
113,18,unknown,643.0,374.0,181,1,9,none,,,,,
113,19,unknown,989.0,402.0,174,1,-3,none,,,,,
113,20,unknown,990.0,467.0,173,1,-1,none,,,,,
113,21,unknown,504.0,407.0,172,0,2,none,,,,,
113,22,unknown,987.0,289.0,171,-1,-3,none,,,,,
113,23,unknown,504.0,396.0,171,0,2,none,,,,,
113,24,unknown,988.0,327.0,170,0,-3,none,,,,,
113,25,unknown,990.0,157.0,161,-1,-2,none,,,,,
113,26,unknown,505.0,530.0,161,0,2,none,,,,,
113,27,unknown,432.0,175.0,160,-2,6,none,,,,,
113,28,unknown,505.0,495.0,157,0,2,none,,,,,
113,29,unknown,796.0,499.0,153,2,1,none,,,,,
113,30,unknown,793.0,291.0,148,-1,4,none,,,,,
113,31,unknown,634.0,350.0,148,0,1,none,,,,,
113,32,unknown,586.0,387.0,148,0,1,none,,,,,
113,33,unknown,791.0,175.0,147,0,5,none,,,,,
113,34,unknown,563.0,413.0,147,-1,2,none,,,,,
113,35,unknown,797.0,532.0,147,0,1,none,,,,,
113,36,unknown,627.0,355.0,145,0,1,none,,,,,
113,37,unknown,792.0,263.0,144,0,5,none,,,,,
113,38,unknown,794.0,370.0,144,-1,4,none,,,,,
113,39,unknown,571.0,424.0,144,2,1,none,,,,,
